ID Polygon,Musigma,X1,Y1,Z1,Y2,Z2,X2,X3,Y3,Z3
19,0.0,110.9332185332,31,-1.16704e-05,30.6401835889,-1.17058e-05,110.923565967,110.8733262734,30.6320820304,-1.16993e-05
20,0.0,110.9681402153,31,-1.16741e-05,30.6458054854,-1.17105e-05,110.9585044497,110.9085374387,30.6377622892,-1.17039e-05
21,0.0,110.9798494105,31,-1.1676e-05,30.6476882565,-1.17114e-05,110.9702192769,110.9435567404,30.6434014996,-1.17086e-05
22,8.313410759,110.6397369441,31,-1.16583e-05,30.624756921,-1.16955e-05,110.6299436286,110.5772420436,30.6161369971,-1.169e-05
23,8.313410759,110.6763292226,31,-1.1662e-05,30.6307314383,-1.17002e-05,110.6665535864,110.614185975,30.6221819772,-1.16928e-05
24,4.6948132515,110.712695253,31,-1.16676e-05,30.636658096,-1.1703e-05,110.7029371788,110.650894774,30.6281773664,-1.16974e-05
25,8.9498844147,110.7488408684,31,-1.16704e-05,30.6425380466,-1.17067e-05,110.7391002423,110.6873746323,30.6341243874,-1.17021e-05
26,6.1107077599,110.7847716699,31,-1.16751e-05,30.648372397,-1.17123e-05,110.7750483811,110.7236314901,30.6400242132,-1.17058e-05
27,4.4805259705,110.8204930389,31,-1.16797e-05,30.6541622104,-1.17151e-05,110.8107869796,110.7596710494,30.64587797,-1.17105e-05
28,4.4805259705,110.8560101491,31,-1.16825e-05,30.6599085092,-1.17207e-05,110.8463212145,110.7954987874,30.6516867394,-1.17142e-05
29,5.4018445015,110.8913279773,31,-1.16862e-05,30.6656122768,-1.17235e-05,110.8816560654,110.8311199685,30.6574515611,-1.17179e-05
30,0.0,110.9264513135,31,-1.16909e-05,30.6712744596,-1.17272e-05,110.9167963251,110.8665396552,30.6631734347,-1.17226e-05
31,0.0,110.9613847709,31,-1.16946e-05,30.676895969,-1.173e-05,110.9517466091,110.9017627194,30.6688533224,-1.17263e-05
32,0.0,110.9730979135,31,-1.16983e-05,30.6787786073,-1.17328e-05,110.9634653925,110.9367938513,30.6744921504,-1.17281e-05
33,7.6089296341,110.6328710756,31,-1.16797e-05,30.6558501983,-1.1717e-05,110.6230751169,110.5703556441,30.6472306655,-1.17095e-05
34,4.27566576,110.6694757453,31,-1.16844e-05,30.6618244257,-1.17198e-05,110.6596974934,110.6073121162,30.6532753747,-1.17151e-05
35,4.27566576,110.7058540846,31,-1.16872e-05,30.6677507805,-1.17254e-05,110.6960934221,110.64403337,30.6592704796,-1.17198e-05
36,8.9498844147,110.7420119292,31,-1.16918e-05,30.6736304158,-1.17272e-05,110.7322687419,110.6805255996,30.6652172032,-1.17235e-05
37,8.9870223999,110.7779548821,31,-1.16974e-05,30.6794644384,-1.17328e-05,110.768229059,110.7167947477,30.6711167191,-1.17281e-05
38,8.9870223999,110.813688327,31,-1.17002e-05,30.685253912,-1.17365e-05,110.8039797603,110.7528465185,30.6769701534,-1.17309e-05
39,8.9870223999,110.8492174397,31,-1.17049e-05,30.6909998591,-1.17412e-05,110.8395260242,110.7886863914,30.6827785881,-1.17356e-05
40,8.0735235214,110.8845471988,31,-1.17077e-05,30.6967032633,-1.17458e-05,110.8748728325,110.8243196328,30.6885430631,-1.17384e-05
41,0.0,110.9196823964,31,-1.17123e-05,30.7023650713,-1.17477e-05,110.9100249798,110.8597513074,30.6942645783,-1.1743e-05
