Point,Musigma,velocity,Coherence,Hcorr,range,azimuth,X,Y,Z
115,10.6338376999,0.3353202939,0.6470635533,3.7126495838,7570.0,3034.0,110.6861099453,30.9128380664,256.8300263509
116,5.4498105049,-0.8520812988,0.9211563468,5.5029373169,11043.0,2367.0,110.7815465499,30.8427079788,479.6640385669
117,4.8549795151,-0.1750717163,0.9796175361,4.476600647,11029.0,2348.0,110.7818289958,30.8403168437,483.8537618294
118,7.9903469086,1.7599105835,0.703373611,1.2471160889,13108.0,2499.0,110.8205664824,30.8659250099,418.2910811119
119,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
120,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
121,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
122,8.1143007278,-1.3503761292,0.8410266042,0.504014492,4544.0,2913.0,110.6279990757,30.8878911547,501.0850562053
123,6.2476010323,0.7836608887,0.9872500896,0.1653627902,5059.0,2872.0,110.6400129726,30.88458114,485.3996467441
124,6.2476010323,0.7836608887,0.9872500896,0.1653627902,5059.0,2872.0,110.6400129726,30.88458114,485.3996467441
125,7.1020746231,-2.393737793,0.8035292029,3.0373077393,5453.0,3027.0,110.6453152844,30.9053271474,552.3752233544
126,10.6338376999,0.3353202939,0.6470635533,3.7126495838,7570.0,3034.0,110.6861099453,30.9128380664,256.8300263509
127,6.3405499458,0.6878021359,0.8198317289,-11.7733430862,9106.0,3247.0,110.7158183015,30.9449599936,433.5814195927
128,5.8373746872,0.0,0.9855872393,0.0,13657.0,3150.0,110.8149208709,30.9484869716,449.7023458965
129,5.8373746872,0.0,0.9855872393,0.0,13657.0,3150.0,110.8149208709,30.9484869716,449.7023458965
130,5.3283782005,1.8523750305,0.7145091891,-8.8994216919,14117.0,2980.0,110.8281179611,30.9288126515,378.5343714813
131,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
132,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
133,8.1143007278,-1.3503761292,0.8410266042,0.504014492,4544.0,2913.0,110.6279990757,30.8878911547,501.0850562053
134,8.1143007278,-1.3503761292,0.8410266042,0.504014492,4544.0,2913.0,110.6279990757,30.8878911547,501.0850562053
135,6.2476010323,0.7836608887,0.9872500896,0.1653627902,5059.0,2872.0,110.6400129726,30.88458114,485.3996467441
136,6.6808242798,-0.0900375396,0.9888251424,-0.9903534055,8208.0,3323.0,110.6928298198,30.9509952865,318.4508080976
137,6.6808242798,-0.0900375396,0.9888251424,-0.9903534055,8208.0,3323.0,110.6928298198,30.9509952865,318.4508080976
